"","#0F4A9C","#53f1fc","#635547","#67000d","#7F6874","#8870ad","#90BF75","#9e6762","#C594BF","#DABE99","#DFCDE4","#EF5A9D","#cc7818","#d6616b","#ffad1e","#ffd854"
"AK167360;Hinfp",0,0,10,1,1,0,9,0,9,4,0,4,2,6,0,7
"AK168184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK168746",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AK168778",0,1,2,0,0,0,2,0,1,0,1,1,1,0,0,2
"AK168779;AK185556;Ntmt1",2,11,90,7,15,18,68,6,104,37,22,12,39,45,11,59
"AK168848;Cab39",5,14,104,22,17,22,73,12,153,31,30,33,47,81,4,68
"AK168915",1,0,4,0,0,1,3,4,3,1,1,0,0,0,0,2
"AK169115;Dnajc22",0,0,3,0,14,3,1,1,5,2,3,4,0,0,0,1
"AK169493;Wdr7",0,3,18,0,7,0,11,4,22,6,3,4,10,8,0,11
"AK169509",0,0,2,1,0,0,0,0,2,0,0,1,0,1,0,0
"AK169549;Nmt1",17,27,227,23,37,35,156,50,254,79,60,62,128,138,19,270
"AK169555;Heatr5a",2,7,44,5,4,14,34,2,56,14,13,16,39,23,4,28
"AK169777;Plcg1",7,10,57,2,10,19,55,7,90,26,19,10,33,5,2,69
"AK169790;Hmbox1",2,3,53,2,13,5,26,2,25,15,8,13,19,14,2,14
"AK169802;Ikzf3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK169831",3,0,7,0,1,1,10,0,3,2,1,9,2,0,0,12
"AK169958;St3gal1",0,1,6,3,3,5,3,0,7,1,2,2,8,17,0,1
"AK169984;Oma1",4,3,9,2,1,3,8,2,21,5,6,6,11,12,3,24
"AK170033;Rhoa",29,32,218,47,42,47,220,29,278,81,71,85,198,140,25,220
"AK170353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK170409",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK170464;Tnfrsf1b",1,1,8,0,0,0,5,2,7,2,1,0,0,9,0,9
"AK170551;Arhgap18",3,0,10,6,16,0,6,2,4,1,0,10,7,12,1,9
"AK170605;Trit1",3,3,42,1,2,2,14,8,42,13,9,10,16,17,2,40
"AK170612;Anxa1",0,0,0,31,0,0,1,0,0,0,0,0,1,8,0,0
"AK170703;Rassf5",0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
"AK170771;Wdr53",1,5,41,2,5,6,28,3,47,26,11,8,17,10,1,25
"AK170837;Armcx5;Gprasp1;Mir7646",12,14,89,0,7,19,70,12,88,30,16,28,34,13,0,26
"AK171116;Laptm5",0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,39
"AK171117;Coa4",0,1,14,0,6,1,11,2,14,4,3,2,5,5,2,21
"AK171153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK171159",0,0,6,1,2,0,1,1,4,2,1,1,3,11,0,3
"AK171187;Cdk8",6,6,93,5,9,8,73,19,82,32,27,17,52,9,4,35
"AK171330",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"AK171391;Ccr5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK171586;Spint2",4,1,86,3,13,2,92,10,24,24,3,42,12,27,5,90
"AK171655;Fam210a;Mir7219",3,8,74,2,8,17,47,5,91,20,16,14,40,28,5,60
"AK171687;Bcl10",9,11,95,9,10,18,55,11,104,32,36,25,76,49,7,96
"AK171764",0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0
"AK171786;Me2",10,18,190,16,46,31,118,31,148,59,34,42,96,105,13,170
"AK171827;Stat3",2,3,16,3,21,8,14,0,10,2,2,9,32,64,5,42
"AK171899;Snx10",8,0,77,20,10,5,58,10,26,18,7,47,15,76,4,59
"AK171952;Tpgs2",9,18,83,5,5,13,56,6,94,29,18,13,31,15,2,25
"AK171953",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"AK171956;Gpi1",26,35,371,28,56,67,287,50,382,123,88,80,188,197,38,570
"AK171960",4,4,48,2,2,10,26,8,59,11,13,13,22,6,1,23
"AK171966;Snx1",2,7,50,10,17,19,35,7,80,18,32,23,39,42,1,6
"AK172064;Xkrx",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AK172081;Malt1",1,3,8,4,2,5,10,1,16,2,0,6,7,6,0,21
"AK172129;Slc26a7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AK172190;Rnf38",4,2,42,3,3,4,35,4,57,18,14,8,13,9,1,15
"AK172204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK172259;Susd6",4,8,18,1,12,5,7,5,48,3,12,8,17,9,0,21
"AK172359",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK172386",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK172440;Taf6",5,5,93,3,4,14,54,6,108,27,19,13,23,17,3,41
"AK172459",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK172478;Peak1",2,5,20,11,5,7,16,2,45,12,10,12,4,6,0,24
"AK172490;Rel",1,1,5,0,0,1,1,2,19,0,1,1,2,2,0,4
"AK172592;Tbc1d5",2,3,32,1,1,5,15,2,30,5,9,4,11,4,2,18
"AK172601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK172630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK172662;Mkln1",7,8,54,7,13,14,46,12,84,22,21,11,35,26,5,55
"AK172672",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK172704;Fam133b",9,16,162,14,11,15,84,22,235,74,30,34,54,32,8,101
"AK172714;Plekho2",0,2,7,3,0,0,2,0,7,1,0,0,6,3,1,6
"AK172721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK177718;Hcn3",0,0,3,0,0,0,8,0,1,0,0,1,1,0,0,0
"AK177772;Herc3",5,2,17,2,8,5,6,2,18,3,3,4,4,1,0,6
"AK177800;AK216694;Tcf25",20,35,267,25,41,56,175,39,286,78,48,64,133,125,16,228
"AK178082;Tmem181c-ps",3,1,13,2,0,2,6,4,6,3,2,6,4,0,2,68
"AK178359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK178429",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AK178890;Atp1b3",19,31,230,31,46,48,179,35,371,94,68,61,146,95,12,240
"AK179007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK179044;Carhsp1",14,26,130,23,20,33,93,21,162,48,45,49,91,74,3,50
"AK179066;Nr1d1",3,3,9,0,9,0,4,2,11,4,2,5,6,0,0,8
"AK179207;Tmem164",4,11,34,0,3,12,26,8,46,14,18,16,13,18,1,12
"AK179349;AK189633;AK198904;Mtch1",10,18,107,4,28,32,72,12,129,27,33,26,113,29,2,69
"AK179786",0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"AK179850;Hps4",2,3,47,1,7,6,35,3,43,16,9,14,13,7,0,24
"AK180019",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2
"AK180077;Mir7019;Pink1",2,1,9,6,5,3,4,3,14,5,4,1,7,12,2,19
"AK180240;Dync1li1",5,16,146,23,20,20,106,20,156,53,26,29,95,73,10,85
"AK180712",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK180745;Tmem189",3,10,78,15,12,16,76,8,63,29,19,19,60,35,5,79
"AK180852;Fam63a",2,2,11,2,7,3,16,1,18,3,4,7,11,14,4,16
"AK180939",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK180973;AK196832;AK207863;Trpm1",0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0
"AK181631;AK218564",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK181663;Kif3c",0,2,10,3,0,2,6,1,13,5,3,4,6,3,2,9
"AK181755;Tprgl",9,13,126,6,12,16,80,12,90,29,29,29,72,34,5,62
"AK181773;Cyc1",40,40,430,60,37,66,318,62,489,151,120,119,231,177,45,406
"AK181808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK181830",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AK181896;Zdhhc4",4,6,23,4,5,3,20,2,32,12,11,13,18,16,0,21
"AK181950;Shisa4",0,1,9,0,1,3,6,0,14,4,1,3,8,3,0,1
"AK182522;Med22",8,10,84,6,15,17,74,10,114,26,19,22,35,29,3,52
"AK182655;Ppp1ca",64,69,623,46,84,129,434,77,860,180,161,172,346,246,32,448
"AK182695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK182874",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"AK182887",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK183756;Paip2b",4,3,33,3,2,0,36,6,39,12,13,8,19,9,0,37
"AK183986",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK184064;Heatr1",10,25,225,22,15,41,150,21,269,85,57,37,105,87,15,203
"AK184121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK184225;Coro1b",9,16,135,39,18,19,107,20,153,34,23,42,79,96,14,118
"AK184299;Mrps2",10,8,83,3,8,19,74,11,101,27,27,16,35,17,7,80
"AK184603",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2
"AK184713",2,4,26,2,8,7,20,5,37,6,9,4,26,11,2,28
"AK184869;Josd1",4,10,54,6,4,11,36,10,86,19,29,14,50,33,5,41
"AK184946;Rnf11",4,11,39,5,14,9,43,7,102,16,20,22,37,21,5,22
"AK185415;Snx17",3,8,53,17,9,15,38,8,77,21,17,15,40,36,4,55
"AK185715;Zfp513",2,4,31,1,6,7,24,2,45,17,9,12,16,15,1,32
"AK186390;Sppl2b",3,2,31,0,2,4,13,5,17,7,3,3,5,7,1,12
"AK186759;Dlst",4,14,117,30,16,25,95,15,149,42,43,37,61,78,7,112
"AK186966;Mir6956;Triobp",7,7,51,10,18,15,31,6,89,18,15,19,43,33,1,22
"AK187054",1,4,30,3,5,9,13,8,51,16,6,17,13,19,1,33
"AK187594;Ccnd2",3,76,178,0,0,155,125,53,826,123,87,56,320,3,0,1
"AK187783",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK187989;Pias1",8,8,80,4,8,3,44,7,83,12,13,10,45,23,5,33
"AK188430",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"AK188772",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK188793;Supt20",5,13,130,5,11,16,61,10,125,38,29,28,66,25,5,62
"AK188812",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK188991;Cdk5rap3",2,5,58,7,5,12,36,6,73,20,18,19,22,14,2,54
"AK189005;mFLJ00251;Timm10b",2,5,78,1,16,20,45,10,93,40,18,39,58,26,7,151
"AK189100;Hpcal1",1,6,16,5,2,3,15,2,45,9,12,5,9,34,0,23
"AK189432",3,0,17,1,2,3,17,3,34,8,1,10,20,22,6,30
"AK189470",8,2,9,1,4,4,2,1,18,2,6,14,9,7,1,8
"AK189601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK189692;Aph1a",0,1,6,3,5,2,5,1,7,3,2,2,9,2,0,12
"AK189830;AK217388;Rarres2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK190465",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK190492;Vps52",3,6,32,4,5,11,31,13,64,12,15,13,21,15,2,32
"AK190497;Fastk",5,4,25,2,0,6,18,3,30,5,7,9,24,11,2,24
"AK190779;Txn2",19,37,199,35,28,57,129,23,306,58,77,58,160,100,22,296
"AK190918;Pycr2",3,5,65,7,4,13,50,10,99,13,18,7,20,30,6,65
"AK191080;Stim1",1,1,28,2,3,4,13,1,11,4,3,4,8,3,0,16
"AK191411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK191498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK191694;Bop1",7,14,150,23,21,35,104,20,184,46,44,26,106,73,11,160
"AK191809;Ncdn",0,5,44,1,3,4,43,3,43,11,12,10,12,5,1,19
"AK192194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK192501;Nkiras2",4,6,52,1,6,10,27,3,55,15,25,11,33,9,3,29
"AK192544",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AK192600;Pcyt2",0,1,20,2,11,1,8,4,12,6,3,5,5,6,4,17
"AK192647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK192827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK192985",0,0,2,0,0,0,1,2,2,0,0,3,3,0,0,1
"AK193034",1,1,4,0,2,1,5,0,4,1,2,0,4,4,0,5
"AK193180;Rbck1",7,16,94,7,7,13,63,12,118,34,16,26,43,23,10,53
"AK193268;Fuz",0,0,2,0,0,0,4,1,4,1,1,3,1,0,0,1
"AK193543;Gde1",5,5,81,8,12,14,51,11,60,24,25,17,58,20,7,92
"AK193649;AK218719;Mlf2",16,30,264,23,18,48,203,34,319,79,83,68,154,90,18,198
"AK194005",0,0,1,0,1,4,2,0,4,0,3,0,3,0,0,0
"AK194371",0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
"AK194623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK195755",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AK195756;Uba7",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AK195902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK195979",0,3,3,1,1,2,1,0,5,2,3,0,3,1,0,7
"AK196015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK196096;Pcsk7",2,3,13,4,8,4,4,2,18,10,10,4,13,13,1,10
"AK196141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK196542",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK196840;Snx12",3,11,59,5,11,16,45,12,89,27,19,15,62,19,3,47
"AK196959",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK197085;BC023829",3,6,31,3,2,12,21,4,71,15,23,11,60,12,4,32
"AK197180;L3mbtl2",4,9,103,5,7,13,61,9,93,33,15,22,40,33,4,70
"AK197603;Cdhr4;Ip6k1",9,10,62,6,18,16,33,10,94,31,19,18,26,14,1,33
"AK197669;Setd4",0,2,30,1,0,2,18,2,24,3,4,6,6,7,1,11
"AK197737",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK197965;Dgcr2",7,10,67,8,16,17,48,16,91,27,21,21,31,30,5,64
"AK197994;Fkbp4",62,111,1156,43,115,184,948,152,1244,374,291,280,496,193,40,676
"AK198004",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AK198029;Mapkapk2",4,6,15,9,10,18,14,3,67,9,26,13,113,33,5,53
"AK198271;Rad54l",1,5,54,1,2,4,24,7,67,14,14,12,15,7,3,42
"AK198376;Srebf2",1,5,48,0,14,7,32,6,43,9,12,6,29,33,3,61
"AK198669;Ddr2",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"AK198984",0,0,3,0,0,0,0,1,2,1,1,0,0,0,0,0
"AK198990;Prrc1",6,5,48,3,10,13,34,5,82,14,21,21,44,20,4,34
"AK199184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK199258",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK199358;Mir7017;Wasf2",3,13,64,7,4,10,20,7,62,9,4,17,24,28,1,76
"AK199574;Klhl30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK199756;Hmga1-rs1",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"AK200600",0,0,10,0,2,3,3,3,10,3,1,4,5,5,1,7
"AK200837",0,10,2,4,28,5,1,1,13,3,5,4,6,10,1,10
"AK201302",1,0,0,0,0,1,3,0,4,1,1,1,1,3,0,2
"AK201505;Sbk1",5,3,111,1,1,0,64,11,26,22,11,20,5,2,0,7
"AK201601",0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
"AK202078",9,17,80,11,8,18,76,14,135,29,37,28,60,51,2,71
"AK202301",6,23,121,19,17,34,76,11,177,38,28,35,83,67,5,127
"AK202427",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK202488",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK202543",0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1
"AK202580",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AK202663",0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0
"AK202768;Ednrb",0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0
"AK203140",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"AK203628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK203706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK203921;Tecpr1",0,2,9,0,0,1,3,1,9,4,1,1,3,2,0,3
"AK203938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK204212",0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
"AK204365",0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,3
"AK204461;Ppp1r16a",3,4,27,1,2,4,16,2,26,5,7,9,12,6,1,10
"AK204506;Glmp",3,8,54,10,42,11,52,10,72,16,17,22,26,47,2,67
"AK204799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK204824",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AK204918",0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0
"AK205023;Ccnd3",10,17,139,16,26,48,84,16,175,37,40,23,197,462,22,326
"AK205147",0,0,2,0,0,0,2,2,2,0,4,0,0,1,0,1
"AK205190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK205332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK205379",1,3,21,4,1,6,23,4,27,7,9,6,15,3,1,17
"AK205703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK205936",0,0,0,0,0,0,4,0,0,0,2,1,3,1,0,0
"AK206280;Fbln1",6,27,46,1,26,33,26,13,172,19,31,27,63,7,2,13
"AK206368;Mir6926;Sgsm2",2,0,15,0,0,3,6,3,8,1,0,5,6,0,0,0
"AK206655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK206687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK206780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK207408",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AK207499;Cpe",0,0,53,0,0,1,26,3,19,16,4,1,3,0,0,0
"AK207524;Mamdc4",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2
"AK207580;Nrbp1",3,10,80,11,14,22,50,13,95,25,23,27,55,35,6,54
"AK207593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK207733",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK207784;Wbp1",8,5,32,0,1,9,31,5,77,18,18,20,31,7,0,29
"AK207899",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK208069;Gsto1",3,8,115,6,18,14,86,10,117,34,26,18,33,34,18,346
"AK208136;Fam129b",0,12,45,0,5,20,42,5,46,17,14,36,77,2,4,52
"AK208354",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK208404",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
"AK208460",0,7,30,6,5,5,22,3,46,9,11,8,24,14,4,30
"AK208502;Pigs",1,2,51,3,6,11,38,4,48,16,9,14,20,13,2,35
"AK208506;Cxxc1",5,11,107,10,12,17,74,19,168,37,27,32,39,21,6,66
"AK208554",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AK208648;Colgalt1",6,23,70,18,8,20,33,9,95,22,23,34,43,80,3,87
"AK208673;Gm37013;Gm38666;Gm38667;Pcdha1;Pcdha10;Pcdha11;Pcdha12;Pcdha2;Pcdha3;Pcdha4;Pcdha5;Pcdha6;Pcdha7;Pcdha8;Pcdha9;Pcdhac1;Pcdhac2;Pcdhga1;Pcdhga10;Pcdhga11;Pcdhga12;Pcdhga2;Pcdhga3;Pcdhga4;Pcdhga5;Pcdhga6;Pcdhga7;Pcdhga8;Pcdhga9;Pcdhgb1;Pcdhgb2;Pcdhgb4;Pcdhgb5;Pcdhgb6;Pcdhgb7;Pcdhgb8;Pcdhgc3;Pcdhgc4;Pcdhgc5",13,11,18,3,1,15,16,11,89,21,15,22,30,0,0,18
"AK208745;Ap2s1",18,15,120,14,11,30,78,16,191,46,22,40,73,77,8,128
"AK209396",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AK209582;Slc11a2",1,5,42,3,16,9,22,5,64,7,10,7,10,12,3,26
"AK209647",3,8,83,2,2,13,85,14,74,26,26,28,28,3,2,18
"AK209885",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AK209947;Coq2",2,2,23,12,1,7,19,3,42,9,8,10,18,14,1,15
"AK210432;H2-Ke6;Slc39a7",7,16,116,10,19,18,73,23,174,42,27,41,88,48,7,115
"AK210555;Gm44504;Slc10a3;Ubl4a",6,10,105,16,18,23,71,11,92,35,20,22,73,62,12,108
"AK210685",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK210908;Itm2c",6,10,85,7,13,21,64,7,104,30,21,24,42,11,1,44
"AK211096;Mir6954;Mroh1",3,3,18,2,8,0,5,0,13,2,1,2,4,6,0,11
"AK211100;Ehmt2",9,29,187,33,21,39,109,24,202,48,32,52,72,100,9,145
"AK211336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK211473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK211593;Timm50",6,21,125,5,17,23,90,25,201,38,37,35,69,42,14,122
"AK211817;Gga2",11,38,221,11,116,44,164,27,304,76,68,66,114,23,26,425
"AK211918;Mir7034;Tmem120a",1,4,25,8,14,9,20,8,40,15,12,7,15,18,3,28
"AK212155;Tmem9b",0,1,16,9,13,5,4,1,22,4,5,6,31,36,1,20
"AK212603",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"AK212710",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AK212965",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
"AK213104;Zfpl1",5,5,43,4,1,8,21,4,44,20,14,16,25,8,4,35
"AK213166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK213200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK213359;Mcl1",19,34,218,37,44,53,131,38,370,69,75,78,194,97,25,289
"AK213404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK213543;Clstn3",1,0,7,0,0,0,3,3,4,5,0,0,1,2,0,1
"AK213609",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AK213636",0,1,15,4,1,2,5,2,17,3,1,5,1,3,0,18
"AK213652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK213749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK213775",0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,2
"AK213804;Copz2",0,0,1,9,0,1,3,0,0,0,0,2,7,26,0,2
"AK214055",0,1,2,0,0,0,3,1,1,0,3,0,1,0,0,0
"AK214072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK214184",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"AK214371",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK214451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK214463;Slc35b2",1,9,33,8,9,8,28,9,59,12,12,22,27,29,9,64
"AK214512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK214604",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AK214641",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"AK214683;Smad3",6,3,22,0,0,6,16,10,45,10,15,11,39,0,3,68
"AK214897;Supt5",12,29,201,17,24,40,120,21,271,73,61,61,113,87,12,195
"AK215051;Rab1b",8,9,96,12,15,14,76,11,121,27,25,38,38,46,2,65
"AK215081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK215237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK215297;Zmynd11",10,25,128,0,14,31,71,17,211,36,22,33,71,5,0,58
"AK215452;Rab28",6,3,51,4,3,9,31,7,53,10,10,7,29,10,2,19
"AK215506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK215526",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"AK215772;Pi4k2a",4,4,54,7,10,8,34,5,71,18,12,24,32,23,2,31
"AK215788;Sox10",0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AK215907;Rab8a",5,8,130,12,18,19,73,10,122,36,23,27,55,82,6,97
"AK216043",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"AK216200;Tacc3",5,28,236,24,29,50,135,23,284,69,60,61,138,83,15,159
"AK216443",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK216459",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK216578",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK216671;Pacs2",2,5,40,1,8,9,29,3,15,10,8,4,21,0,4,11
"AK216726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK216824",0,0,3,0,0,0,0,2,2,0,1,0,0,0,0,1
"AK216920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AK217047",0,0,1,0,0,0,3,0,1,1,1,0,0,0,0,1
"AK217074;Rnf114",21,14,157,11,19,22,121,23,175,47,38,36,50,49,4,101
"AK217348;Rbm7",10,17,76,4,8,21,61,14,146,27,31,20,63,31,8,64
"AK217604",0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"AK217854",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK217856;mKIAA1554",0,0,6,0,0,2,4,2,19,1,3,3,5,0,0,1
"AK217931;Nckipsd",1,0,15,2,1,3,8,2,12,4,0,0,2,1,0,9
"AK217941",2,3,15,10,1,5,14,2,25,3,5,5,4,25,1,21
"AK218069;Laptm4b",22,56,61,2,59,80,34,10,699,33,170,74,96,7,2,58
"AK218226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK218261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK218396",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK218399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK218455;Slc7a6",6,12,73,5,10,22,48,13,129,21,35,23,68,26,2,59
"AK218698;Sphk1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AK218851;Pskh1",1,4,28,2,3,4,20,3,29,7,9,9,13,1,0,6
"AK218936;Gnptg",2,2,19,5,2,4,12,3,23,3,5,8,5,12,1,16
"AK218987;Tgif2",3,8,89,6,8,13,57,8,81,28,21,18,37,28,2,53
"AK219036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AK219094;BC026933;Chaf1b",4,19,168,10,7,19,117,31,169,59,31,32,36,37,5,125
"AK219146;Grina;Mir6953",1,2,40,4,5,2,20,4,19,10,1,6,5,9,2,35
